module_name,function_name,lines_covered,lines_total,coverage_percent,last_tested,risk_score,missing_branches
user,create,19,93,20.43,2025-08-22,0.26,3
analytics,get,50,79,63.29,2025-07-24,0.9,5
invoice,get,17,93,18.28,2025-06-30,0.1,3
invoice,create,106,121,87.6,2025-08-05,0.62,2
auth,delete,5,166,3.01,2025-09-09,0.06,3
auth,update,9,36,25.0,2025-09-07,0.56,1
notifications,delete,30,62,48.39,2025-06-29,0.53,4
analytics,delete,11,42,26.19,2025-09-14,0.63,5
analytics,create,19,30,63.33,2025-07-07,0.31,1
analytics,get,137,195,70.26,2025-08-16,0.71,5
notifications,get,114,145,78.62,2025-07-05,0.53,4
analytics,list,22,98,22.45,2025-08-24,0.51,3
auth,get,15,53,28.3,2025-08-13,0.11,2
auth,get,3,56,5.36,2025-09-09,0.32,0
invoice,list,103,138,74.64,2025-07-23,0.24,2
reporting,validate,130,151,86.09,2025-09-20,0.45,1
user,list,7,113,6.19,2025-09-04,0.28,4
reporting,get,69,182,37.91,2025-06-29,0.88,1
invoice,get,29,80,36.25,2025-07-09,0.56,3
auth,list,120,180,66.67,2025-08-29,0.31,3
notifications,get,115,171,67.25,2025-08-10,0.93,3
user,create,46,134,34.33,2025-07-13,0.18,5
reporting,validate,60,178,33.71,2025-08-18,0.74,1
auth,list,142,177,80.23,2025-09-22,0.36,1
user,validate,83,100,83.0,2025-08-17,0.51,1
invoice,get,13,32,40.62,2025-09-18,0.46,5
reporting,update,52,127,40.94,2025-07-21,0.67,1
user,delete,194,195,99.49,2025-09-22,0.54,5
user,update,19,22,86.36,2025-09-03,0.51,3
invoice,update,63,65,96.92,2025-07-10,0.82,0
user,validate,5,48,10.42,2025-09-23,0.9,3
reporting,delete,65,114,57.02,2025-09-25,0.36,5
notifications,update,102,168,60.71,2025-09-24,0.41,2
auth,get,54,189,28.57,2025-07-16,0.36,0
analytics,create,26,128,20.31,2025-08-23,0.97,3
invoice,update,115,119,96.64,2025-08-29,0.45,3
notifications,delete,71,147,48.3,2025-08-28,0.61,3
invoice,get,42,78,53.85,2025-08-21,0.03,0
analytics,get,33,38,86.84,2025-09-14,0.01,5
reporting,delete,77,80,96.25,2025-09-08,0.45,3
user,update,65,90,72.22,2025-08-13,0.6,4
invoice,validate,178,187,95.19,2025-09-03,0.48,2
invoice,list,70,177,39.55,2025-09-18,0.36,1
user,get,58,140,41.43,2025-06-29,0.66,2
auth,update,2,24,8.33,2025-08-02,0.4,1
notifications,list,68,140,48.57,2025-08-10,0.33,2
user,get,27,163,16.56,2025-09-10,0.95,1
notifications,list,40,47,85.11,2025-07-27,0.04,5
notifications,delete,20,151,13.25,2025-07-05,0.16,5
reporting,validate,147,150,98.0,2025-09-05,0.6,3
auth,delete,23,87,26.44,2025-06-28,0.02,1
analytics,list,135,144,93.75,2025-08-02,0.67,1
reporting,validate,61,64,95.31,2025-07-23,0.95,0
reporting,create,48,126,38.1,2025-08-08,0.66,5
auth,list,9,39,23.08,2025-09-05,0.58,1
analytics,create,112,184,60.87,2025-08-27,0.21,4
auth,create,4,160,2.5,2025-08-14,0.58,3
invoice,create,137,142,96.48,2025-08-01,0.65,4
notifications,update,113,193,58.55,2025-07-01,0.08,5
invoice,list,3,39,7.69,2025-07-03,0.28,1
auth,create,99,179,55.31,2025-07-23,0.78,1
invoice,update,4,121,3.31,2025-08-06,0.68,1
user,list,78,91,85.71,2025-06-29,0.64,4
invoice,delete,17,24,70.83,2025-07-21,0.02,3
analytics,get,150,191,78.53,2025-09-17,0.9,5
auth,update,27,30,90.0,2025-06-29,0.85,2
analytics,update,3,129,2.33,2025-08-27,0.28,3
reporting,get,125,151,82.78,2025-08-15,0.68,3
invoice,update,13,40,32.5,2025-06-30,0.54,2
invoice,update,80,147,54.42,2025-08-24,0.19,2
notifications,get,15,82,18.29,2025-08-02,0.06,2
reporting,validate,121,190,63.68,2025-08-31,0.39,4
invoice,create,84,106,79.25,2025-07-09,0.45,1
invoice,delete,18,48,37.5,2025-09-14,0.15,5
user,delete,39,94,41.49,2025-09-23,0.86,1
invoice,list,40,91,43.96,2025-08-09,0.1,2
analytics,get,16,18,88.89,2025-07-02,0.98,2
analytics,update,4,46,8.7,2025-07-29,0.58,4
user,delete,89,197,45.18,2025-07-13,0.2,1
user,create,61,157,38.85,2025-09-22,0.84,2
analytics,create,193,193,100.0,2025-09-17,0.61,5
invoice,list,6,71,8.45,2025-08-30,0.86,2
auth,delete,21,25,84.0,2025-08-05,0.28,4
user,delete,32,122,26.23,2025-08-03,0.58,2
user,update,98,139,70.5,2025-09-04,0.54,5
reporting,update,4,15,26.67,2025-09-09,0.41,3
user,create,7,12,58.33,2025-09-13,0.5,5
notifications,validate,32,112,28.57,2025-08-16,0.89,1
notifications,update,80,81,98.77,2025-07-21,0.89,3
invoice,validate,111,166,66.87,2025-07-11,0.33,3
analytics,create,6,16,37.5,2025-06-28,0.83,5
user,list,2,167,1.2,2025-07-11,0.23,5
invoice,list,21,75,28.0,2025-08-11,0.81,0
invoice,get,1,18,5.56,2025-07-27,0.99,1
analytics,delete,86,150,57.33,2025-07-28,0.79,4
auth,delete,5,82,6.1,2025-08-02,0.14,5
analytics,update,14,38,36.84,2025-09-04,0.94,5
analytics,delete,8,93,8.6,2025-07-10,0.54,4
invoice,create,80,141,56.74,2025-08-07,0.12,1
invoice,delete,33,41,80.49,2025-07-30,0.23,0
analytics,list,86,122,70.49,2025-08-02,0.48,4
analytics,get,29,56,51.79,2025-09-06,0.52,4
notifications,list,52,91,57.14,2025-09-16,0.92,1
user,validate,11,114,9.65,2025-09-16,0.19,4
notifications,create,23,68,33.82,2025-07-24,0.41,2
reporting,update,14,67,20.9,2025-07-18,0.57,3
notifications,get,149,156,95.51,2025-08-17,0.21,2
user,get,141,182,77.47,2025-07-14,0.14,3
user,validate,73,123,59.35,2025-07-18,0.72,5
analytics,list,14,36,38.89,2025-09-10,0.28,0
invoice,get,42,103,40.78,2025-08-07,0.74,4
reporting,delete,32,39,82.05,2025-09-03,0.72,1
reporting,create,21,191,10.99,2025-08-12,0.79,5
analytics,list,44,171,25.73,2025-08-17,0.3,2
notifications,delete,8,38,21.05,2025-07-04,0.98,1
reporting,list,11,30,36.67,2025-07-12,0.02,5
analytics,update,61,61,100.0,2025-08-25,0.06,5
user,create,39,67,58.21,2025-08-15,0.69,2
notifications,validate,9,44,20.45,2025-07-21,0.54,2
analytics,validate,137,160,85.62,2025-09-17,0.06,2
reporting,update,13,17,76.47,2025-08-19,0.75,2
invoice,update,108,190,56.84,2025-07-08,0.1,1
reporting,create,65,195,33.33,2025-09-01,0.74,3
invoice,create,8,39,20.51,2025-08-08,0.72,0
user,validate,3,11,27.27,2025-08-15,0.08,4
reporting,create,61,79,77.22,2025-08-26,0.9,4
notifications,validate,39,66,59.09,2025-08-18,0.79,0
notifications,delete,99,105,94.29,2025-08-27,0.94,0
analytics,update,54,112,48.21,2025-08-11,0.52,2
notifications,create,18,91,19.78,2025-07-23,0.05,5
invoice,delete,38,180,21.11,2025-09-10,0.54,1
reporting,update,2,64,3.12,2025-09-11,0.68,2
analytics,create,141,179,78.77,2025-07-21,0.52,1
analytics,delete,86,110,78.18,2025-08-14,0.96,1
analytics,create,131,191,68.59,2025-09-21,0.79,5
analytics,update,63,145,43.45,2025-09-12,0.53,1
auth,delete,120,200,60.0,2025-07-27,0.01,3
analytics,delete,22,37,59.46,2025-08-30,0.12,5
user,validate,45,106,42.45,2025-07-24,0.29,0
invoice,create,16,67,23.88,2025-09-20,0.59,5
reporting,update,39,47,82.98,2025-08-22,0.43,2
user,list,48,92,52.17,2025-06-29,0.04,2
analytics,get,57,138,41.3,2025-07-16,0.49,0
user,update,1,36,2.78,2025-09-18,0.73,0
notifications,validate,145,162,89.51,2025-08-15,0.36,4
invoice,list,20,64,31.25,2025-08-29,0.14,5
analytics,list,62,71,87.32,2025-07-25,0.07,2
reporting,list,33,45,73.33,2025-07-18,0.07,1
notifications,create,10,104,9.62,2025-08-02,0.12,2
invoice,delete,86,197,43.65,2025-08-28,0.59,4
notifications,delete,43,56,76.79,2025-07-04,0.24,1
reporting,update,116,135,85.93,2025-09-13,0.75,2
invoice,list,14,25,56.0,2025-07-18,0.28,4
auth,delete,18,41,43.9,2025-09-10,0.67,0
notifications,create,62,87,71.26,2025-07-06,0.98,0
user,validate,53,59,89.83,2025-07-17,0.96,3
notifications,get,56,60,93.33,2025-09-03,0.9,2
reporting,delete,84,130,64.62,2025-09-22,0.27,3
reporting,validate,11,21,52.38,2025-09-22,0.99,3
invoice,validate,61,85,71.76,2025-07-06,0.94,2
user,validate,18,80,22.5,2025-08-06,0.82,0
invoice,create,27,91,29.67,2025-07-26,0.93,3
auth,delete,38,117,32.48,2025-07-09,0.45,4
notifications,get,105,154,68.18,2025-08-20,0.0,5
invoice,list,31,48,64.58,2025-07-28,0.14,0
invoice,delete,51,70,72.86,2025-09-13,0.87,1
invoice,create,96,130,73.85,2025-09-02,0.03,3
invoice,create,145,149,97.32,2025-08-18,0.64,2
notifications,delete,33,107,30.84,2025-06-27,0.8,3
invoice,validate,0,95,0.0,2025-08-05,0.32,5
analytics,create,89,98,90.82,2025-07-18,0.0,5
invoice,delete,132,160,82.5,2025-08-14,0.39,0
auth,validate,133,166,80.12,2025-07-03,0.78,1
invoice,create,89,99,89.9,2025-08-09,0.04,5
auth,delete,116,187,62.03,2025-09-24,0.63,1
invoice,list,4,13,30.77,2025-08-18,0.63,2
invoice,get,36,47,76.6,2025-09-23,0.26,5
reporting,list,13,24,54.17,2025-08-03,0.96,1
notifications,get,13,76,17.11,2025-08-11,0.55,1
invoice,create,53,148,35.81,2025-07-26,0.72,2
invoice,update,6,101,5.94,2025-08-30,0.65,4
reporting,create,54,68,79.41,2025-08-06,0.03,1
reporting,delete,5,40,12.5,2025-07-12,0.5,0
notifications,delete,97,199,48.74,2025-09-21,0.65,5
analytics,delete,74,84,88.1,2025-08-26,0.83,2
user,validate,13,170,7.65,2025-08-29,0.88,5
analytics,validate,72,137,52.55,2025-07-20,0.47,5
auth,list,36,86,41.86,2025-08-27,0.59,4
analytics,delete,26,61,42.62,2025-08-24,0.67,0
notifications,delete,17,110,15.45,2025-09-25,0.72,4
analytics,get,24,26,92.31,2025-09-21,0.02,2
invoice,list,71,171,41.52,2025-09-11,0.01,4
analytics,update,28,45,62.22,2025-07-12,0.28,5
user,validate,29,174,16.67,2025-07-01,0.12,3
user,update,1,22,4.55,2025-08-22,0.9,1
invoice,create,8,25,32.0,2025-07-31,0.81,0
analytics,validate,39,50,78.0,2025-07-17,0.7,0
analytics,validate,8,29,27.59,2025-07-09,0.9,0
user,validate,32,122,26.23,2025-07-24,0.08,5
notifications,delete,56,81,69.14,2025-07-05,0.11,5
invoice,create,34,147,23.13,2025-08-16,0.4,3
invoice,get,10,49,20.41,2025-08-29,0.03,4
invoice,delete,71,85,83.53,2025-08-20,0.87,2
reporting,validate,68,182,37.36,2025-09-09,0.65,5
user,delete,42,161,26.09,2025-08-28,0.57,5
notifications,create,189,192,98.44,2025-08-04,0.81,4
analytics,delete,22,106,20.75,2025-06-29,0.97,4
user,create,3,14,21.43,2025-09-20,0.16,2
reporting,update,17,30,56.67,2025-07-06,0.78,0
analytics,create,119,180,66.11,2025-06-28,0.18,4
invoice,delete,3,136,2.21,2025-07-05,0.43,3
notifications,update,12,114,10.53,2025-07-13,0.85,3
notifications,create,116,163,71.17,2025-08-27,0.62,4
user,list,4,181,2.21,2025-09-12,0.31,1
invoice,update,0,131,0.0,2025-09-11,0.85,5
analytics,list,39,153,25.49,2025-09-02,0.93,1
notifications,validate,4,152,2.63,2025-08-23,0.34,4
auth,validate,28,108,25.93,2025-09-24,0.69,5
auth,get,48,96,50.0,2025-08-12,0.69,1
analytics,update,38,54,70.37,2025-08-23,0.51,0
analytics,update,11,119,9.24,2025-07-04,0.27,0
user,delete,28,102,27.45,2025-08-13,0.94,1
user,validate,26,39,66.67,2025-09-07,0.28,2
auth,create,2,12,16.67,2025-09-25,0.31,2
invoice,list,28,49,57.14,2025-07-24,0.23,2
reporting,validate,15,51,29.41,2025-07-01,0.2,0
notifications,validate,32,158,20.25,2025-07-16,0.38,1
invoice,validate,39,97,40.21,2025-08-19,0.72,2
invoice,validate,22,95,23.16,2025-09-19,0.85,0
invoice,get,92,152,60.53,2025-07-01,0.32,5
invoice,get,5,14,35.71,2025-08-04,0.61,1
invoice,get,2,42,4.76,2025-07-07,0.86,0
user,update,59,141,41.84,2025-07-25,0.32,5
notifications,validate,2,44,4.55,2025-09-14,0.28,3
notifications,create,64,94,68.09,2025-07-24,0.49,2
user,validate,2,30,6.67,2025-08-31,0.14,5
auth,list,23,60,38.33,2025-09-13,0.42,2
analytics,get,71,168,42.26,2025-08-27,0.35,1
analytics,create,5,36,13.89,2025-08-17,0.18,5
auth,get,20,127,15.75,2025-08-28,0.97,4
reporting,validate,64,97,65.98,2025-09-18,0.77,2
analytics,get,8,87,9.2,2025-09-07,0.81,4
reporting,delete,68,102,66.67,2025-09-12,0.56,3
invoice,validate,11,11,100.0,2025-08-01,0.93,4
notifications,update,17,183,9.29,2025-07-25,0.86,2
invoice,update,135,192,70.31,2025-09-22,0.29,4
reporting,update,119,156,76.28,2025-08-20,0.26,3
reporting,list,26,107,24.3,2025-08-27,0.8,5
invoice,update,30,174,17.24,2025-07-12,0.59,1
invoice,create,22,99,22.22,2025-08-13,0.06,1
user,get,141,149,94.63,2025-08-22,0.89,3
invoice,validate,30,187,16.04,2025-07-28,0.9,4
auth,delete,3,70,4.29,2025-09-10,0.91,1
auth,create,0,76,0.0,2025-09-16,0.11,5
user,delete,164,167,98.2,2025-07-10,0.86,0
analytics,delete,80,168,47.62,2025-07-29,0.25,4
notifications,get,37,85,43.53,2025-07-16,0.68,5
analytics,list,43,49,87.76,2025-09-22,0.38,3
notifications,get,92,133,69.17,2025-08-02,0.75,1
notifications,validate,35,109,32.11,2025-09-06,0.26,1
auth,validate,39,177,22.03,2025-06-30,0.75,0
analytics,delete,23,123,18.7,2025-08-27,0.6,1
invoice,create,65,100,65.0,2025-07-27,0.64,3
invoice,get,72,161,44.72,2025-08-23,0.48,0
auth,validate,43,133,32.33,2025-09-19,0.85,5
invoice,get,65,164,39.63,2025-08-31,0.94,1
reporting,create,0,20,0.0,2025-07-25,0.27,0
auth,validate,33,42,78.57,2025-09-12,0.77,1
auth,delete,87,161,54.04,2025-08-26,0.38,0
invoice,update,27,103,26.21,2025-08-19,0.65,1
invoice,list,36,148,24.32,2025-08-01,0.52,4
user,create,49,181,27.07,2025-08-10,0.38,2
analytics,list,1,189,0.53,2025-09-19,0.38,3
invoice,delete,36,37,97.3,2025-09-17,0.16,2
analytics,delete,23,66,34.85,2025-08-06,0.26,0
user,update,69,146,47.26,2025-07-20,0.31,3
analytics,update,139,146,95.21,2025-08-26,0.6,3
analytics,update,24,34,70.59,2025-06-29,0.79,0
notifications,update,29,69,42.03,2025-08-10,0.51,3
analytics,update,67,86,77.91,2025-08-10,0.8,2
reporting,validate,44,165,26.67,2025-08-11,0.34,1
auth,update,79,138,57.25,2025-07-11,0.17,3
analytics,validate,117,146,80.14,2025-07-18,0.76,1
reporting,get,97,179,54.19,2025-09-23,0.71,0
reporting,list,31,81,38.27,2025-07-26,0.3,5
reporting,get,96,111,86.49,2025-09-18,0.52,0
auth,list,20,43,46.51,2025-09-15,0.8,1
auth,get,57,125,45.6,2025-07-21,0.53,5
invoice,delete,178,190,93.68,2025-09-08,0.99,0
reporting,create,47,101,46.53,2025-07-26,0.94,1
notifications,update,101,105,96.19,2025-09-14,0.44,3
invoice,create,66,131,50.38,2025-08-23,0.94,4
user,get,188,197,95.43,2025-08-23,0.82,2
auth,update,30,105,28.57,2025-08-27,0.73,4
user,create,19,153,12.42,2025-07-05,0.32,0
auth,get,97,187,51.87,2025-09-10,0.05,2
analytics,get,167,197,84.77,2025-09-04,0.71,0
user,get,51,118,43.22,2025-07-16,0.96,1
reporting,update,75,158,47.47,2025-09-08,0.06,1
analytics,create,89,139,64.03,2025-07-02,0.61,1
reporting,update,5,75,6.67,2025-09-09,0.23,0
user,validate,98,138,71.01,2025-08-06,0.41,2
notifications,delete,7,91,7.69,2025-07-22,0.07,5
analytics,create,64,64,100.0,2025-07-23,0.37,5
invoice,get,19,73,26.03,2025-08-12,0.99,4
analytics,validate,4,57,7.02,2025-07-26,0.45,3
invoice,update,29,158,18.35,2025-07-31,0.55,1
notifications,list,29,47,61.7,2025-09-15,0.43,5
user,create,30,64,46.88,2025-09-11,0.48,3
reporting,update,65,91,71.43,2025-07-31,0.99,2
reporting,create,5,33,15.15,2025-08-01,0.21,4
notifications,delete,78,127,61.42,2025-08-02,0.61,3
reporting,list,47,131,35.88,2025-09-07,0.72,1
analytics,validate,67,94,71.28,2025-09-01,0.79,1
notifications,list,31,82,37.8,2025-09-21,0.23,2
reporting,delete,52,69,75.36,2025-09-12,0.87,0
invoice,list,1,21,4.76,2025-07-25,0.85,0
notifications,list,9,182,4.95,2025-09-20,0.53,4
auth,get,19,19,100.0,2025-08-01,0.93,2
notifications,create,23,106,21.7,2025-09-01,0.0,2
notifications,update,133,176,75.57,2025-09-10,0.27,5
auth,create,62,106,58.49,2025-07-16,0.33,1
analytics,update,18,26,69.23,2025-08-17,0.19,4
notifications,delete,56,83,67.47,2025-09-24,0.85,4
user,create,23,57,40.35,2025-09-07,0.2,5
analytics,get,27,55,49.09,2025-07-14,0.35,5
user,list,32,78,41.03,2025-09-06,0.5,1
reporting,list,58,85,68.24,2025-07-06,0.27,4
user,update,88,108,81.48,2025-08-24,0.53,4
auth,validate,125,163,76.69,2025-08-19,0.01,4
invoice,delete,77,113,68.14,2025-07-12,0.86,2
auth,get,142,199,71.36,2025-07-09,0.81,2
analytics,delete,41,182,22.53,2025-09-09,0.02,0
reporting,create,33,48,68.75,2025-09-25,0.83,0
invoice,get,5,39,12.82,2025-09-07,0.01,5
analytics,update,9,20,45.0,2025-09-10,0.0,4
reporting,list,47,190,24.74,2025-08-11,0.02,3
auth,list,49,113,43.36,2025-09-07,0.31,1
reporting,delete,11,30,36.67,2025-07-30,0.62,0
invoice,get,41,165,24.85,2025-08-22,0.89,1
analytics,update,51,73,69.86,2025-08-29,0.22,0
invoice,create,2,15,13.33,2025-07-25,0.64,4
notifications,validate,35,38,92.11,2025-08-20,0.45,3
analytics,get,91,188,48.4,2025-07-16,0.29,4
reporting,get,184,197,93.4,2025-09-12,0.88,0
invoice,delete,103,107,96.26,2025-08-13,0.16,0
reporting,validate,137,197,69.54,2025-07-05,0.62,4
auth,validate,89,109,81.65,2025-08-13,0.14,4
user,validate,133,140,95.0,2025-08-31,0.18,0
notifications,update,28,163,17.18,2025-08-27,0.53,0
analytics,list,40,63,63.49,2025-07-18,0.35,2
notifications,update,13,27,48.15,2025-06-29,0.06,5
user,list,69,149,46.31,2025-09-24,0.05,2
invoice,get,66,129,51.16,2025-06-27,0.86,1
reporting,delete,2,124,1.61,2025-08-18,0.35,5
auth,list,49,80,61.25,2025-08-16,0.69,5
auth,create,63,110,57.27,2025-07-09,0.35,3
notifications,list,36,120,30.0,2025-09-22,0.99,5
analytics,update,62,180,34.44,2025-07-28,0.55,4
analytics,delete,34,91,37.36,2025-08-31,0.98,2
analytics,delete,6,54,11.11,2025-08-17,0.46,5
user,create,68,168,40.48,2025-09-19,0.33,3
notifications,create,8,50,16.0,2025-07-27,0.15,4
analytics,list,51,181,28.18,2025-07-01,0.29,4
auth,create,81,186,43.55,2025-09-10,0.66,3
user,update,188,198,94.95,2025-08-25,0.49,3
reporting,create,51,53,96.23,2025-07-28,0.23,4
user,update,38,95,40.0,2025-07-06,0.23,4
user,list,2,12,16.67,2025-08-07,0.1,3
notifications,list,20,36,55.56,2025-08-13,0.18,3
notifications,create,63,71,88.73,2025-09-18,0.6,3
reporting,list,13,141,9.22,2025-09-08,0.95,2
analytics,create,7,11,63.64,2025-06-27,0.04,2
auth,create,48,83,57.83,2025-07-30,0.54,5
user,create,12,83,14.46,2025-06-28,0.42,2
analytics,create,58,58,100.0,2025-09-03,0.22,5
reporting,delete,4,136,2.94,2025-07-03,0.48,2
user,update,45,160,28.12,2025-09-02,0.98,0
user,get,68,119,57.14,2025-09-22,0.23,2
notifications,create,27,191,14.14,2025-07-05,0.61,2
analytics,update,11,17,64.71,2025-09-10,0.86,5
invoice,list,54,178,30.34,2025-07-21,0.5,3
analytics,delete,5,62,8.06,2025-08-09,0.88,5
auth,validate,42,120,35.0,2025-07-15,0.02,5
auth,get,12,17,70.59,2025-06-29,0.27,0
auth,validate,62,137,45.26,2025-08-24,0.02,0
user,create,30,41,73.17,2025-09-06,0.63,2
notifications,delete,184,190,96.84,2025-08-18,0.21,2
reporting,validate,2,61,3.28,2025-07-09,0.5,0
user,validate,87,89,97.75,2025-08-16,0.08,0
invoice,list,22,128,17.19,2025-09-08,0.7,4
reporting,delete,76,96,79.17,2025-07-01,0.05,2
analytics,get,19,33,57.58,2025-07-15,0.12,2
invoice,delete,21,69,30.43,2025-08-22,0.87,0
auth,list,52,180,28.89,2025-07-30,0.47,5
user,list,129,187,68.98,2025-08-06,0.35,1
auth,get,3,67,4.48,2025-07-01,0.3,0
notifications,update,106,141,75.18,2025-07-28,0.97,3
auth,create,17,119,14.29,2025-08-11,0.42,4
reporting,delete,103,154,66.88,2025-07-04,0.98,2
auth,get,35,192,18.23,2025-07-05,0.85,0
user,create,131,154,85.06,2025-09-16,0.97,1
auth,delete,10,13,76.92,2025-07-05,0.97,2
reporting,get,28,44,63.64,2025-09-01,0.87,5
notifications,get,71,73,97.26,2025-08-19,0.39,2
notifications,list,35,94,37.23,2025-08-04,0.18,3
user,delete,71,151,47.02,2025-09-20,0.85,3
invoice,create,18,31,58.06,2025-06-29,0.27,2
reporting,get,8,15,53.33,2025-06-29,0.63,1
reporting,get,133,140,95.0,2025-06-28,0.98,1
user,get,41,195,21.03,2025-08-13,0.06,4
auth,delete,75,190,39.47,2025-07-13,0.2,5
analytics,list,7,10,70.0,2025-09-09,0.82,4
invoice,get,46,141,32.62,2025-09-11,0.63,5
auth,get,12,55,21.82,2025-06-29,0.67,2
auth,create,29,191,15.18,2025-08-03,0.0,3
invoice,validate,70,172,40.7,2025-08-25,0.86,1
notifications,get,15,186,8.06,2025-07-12,0.16,5
notifications,list,35,173,20.23,2025-07-04,0.9,0
auth,get,32,36,88.89,2025-07-28,0.88,5
invoice,delete,9,61,14.75,2025-07-18,0.84,0
invoice,delete,15,72,20.83,2025-08-08,0.59,5
analytics,create,14,37,37.84,2025-08-24,0.0,2
analytics,update,8,18,44.44,2025-07-23,0.5,4
notifications,validate,27,189,14.29,2025-09-08,0.32,2
auth,update,3,37,8.11,2025-08-21,0.72,3
invoice,validate,75,200,37.5,2025-09-08,0.53,1
invoice,get,47,121,38.84,2025-08-15,0.1,5
user,delete,40,173,23.12,2025-07-06,0.87,3
reporting,delete,55,133,41.35,2025-08-29,0.39,2
analytics,get,161,173,93.06,2025-08-17,0.04,0
notifications,list,0,54,0.0,2025-08-30,0.72,2
user,update,113,139,81.29,2025-09-10,0.86,0
auth,validate,25,126,19.84,2025-08-20,0.61,4
analytics,get,142,157,90.45,2025-09-06,0.68,2
reporting,list,42,93,45.16,2025-07-27,0.38,4
user,create,147,159,92.45,2025-09-18,0.76,4
analytics,validate,10,66,15.15,2025-09-22,0.86,2
notifications,list,22,59,37.29,2025-09-17,0.31,2
analytics,get,179,180,99.44,2025-07-30,0.25,2
notifications,create,62,91,68.13,2025-08-21,0.51,2
notifications,create,38,124,30.65,2025-07-23,0.8,5
auth,delete,15,83,18.07,2025-08-23,0.49,1
invoice,delete,7,177,3.95,2025-08-10,0.96,0
user,create,2,13,15.38,2025-09-07,0.11,5
analytics,create,5,148,3.38,2025-08-08,0.61,2
auth,update,75,133,56.39,2025-08-05,0.11,5
analytics,list,46,70,65.71,2025-06-30,0.35,3
analytics,delete,44,169,26.04,2025-08-23,0.82,4
analytics,get,79,170,46.47,2025-09-23,0.78,3
user,list,148,185,80.0,2025-08-05,0.3,1
auth,list,104,198,52.53,2025-08-28,0.24,3
user,create,25,47,53.19,2025-08-08,0.16,2
user,get,15,50,30.0,2025-09-08,0.88,2
analytics,create,41,88,46.59,2025-06-27,0.85,5
invoice,update,86,145,59.31,2025-09-14,0.01,1
analytics,validate,120,180,66.67,2025-09-03,0.86,5
notifications,update,16,53,30.19,2025-08-08,0.63,4
invoice,create,150,168,89.29,2025-07-11,0.61,0
invoice,validate,66,195,33.85,2025-08-18,0.74,0
invoice,update,17,113,15.04,2025-07-18,0.07,4
analytics,get,2,12,16.67,2025-08-28,0.03,2
analytics,list,54,107,50.47,2025-09-09,0.83,3
analytics,update,109,155,70.32,2025-09-02,0.62,3
auth,list,81,167,48.5,2025-08-23,0.27,3
user,list,4,16,25.0,2025-08-03,0.43,1
notifications,delete,79,150,52.67,2025-08-24,0.42,4
