module_name,function_name,lines_covered,lines_total,coverage_percent,last_tested,risk_score,missing_branches
user,create,18,27,66.67,2025-08-23,0.22,0
analytics,delete,75,100,75.0,2025-09-05,0.05,0
user,update,127,160,79.38,2025-09-20,0.97,2
analytics,create,42,129,32.56,2025-09-10,0.61,1
user,validate,64,193,33.16,2025-09-09,0.5,1
user,create,17,41,41.46,2025-07-07,0.58,0
auth,validate,22,26,84.62,2025-08-08,0.08,1
invoice,get,0,38,0.0,2025-08-09,0.83,3
analytics,delete,87,145,60.0,2025-08-02,0.08,4
invoice,delete,17,44,38.64,2025-08-07,0.22,2
user,validate,125,132,94.7,2025-09-24,0.86,0
analytics,validate,66,96,68.75,2025-07-16,0.97,3
analytics,create,2,32,6.25,2025-09-26,0.66,0
analytics,delete,48,194,24.74,2025-08-19,0.4,0
invoice,list,18,21,85.71,2025-08-09,0.28,4
user,create,82,181,45.3,2025-09-09,0.79,4
user,create,15,16,93.75,2025-08-16,0.7,0
user,validate,58,146,39.73,2025-08-09,0.83,2
analytics,create,21,24,87.5,2025-08-08,0.14,0
analytics,delete,10,80,12.5,2025-09-27,0.49,3
auth,delete,7,11,63.64,2025-08-29,0.93,5
analytics,update,0,110,0.0,2025-07-25,0.16,3
reporting,validate,27,52,51.92,2025-06-29,0.38,5
invoice,get,35,37,94.59,2025-09-02,0.24,0
reporting,create,88,195,45.13,2025-08-29,0.7,2
auth,validate,49,52,94.23,2025-07-20,0.9,4
notifications,list,164,183,89.62,2025-08-26,0.19,2
user,delete,84,127,66.14,2025-07-07,0.86,2
user,update,52,127,40.94,2025-07-24,0.62,2
auth,create,18,24,75.0,2025-08-25,0.28,4
analytics,delete,26,50,52.0,2025-09-10,0.42,2
analytics,create,55,156,35.26,2025-08-08,0.15,2
notifications,update,168,172,97.67,2025-09-05,0.78,3
user,get,31,62,50.0,2025-07-31,0.24,4
analytics,list,65,148,43.92,2025-08-21,0.02,3
invoice,update,41,198,20.71,2025-08-22,0.37,3
user,list,20,49,40.82,2025-07-14,0.33,2
user,update,53,129,41.09,2025-08-30,0.33,1
notifications,get,33,45,73.33,2025-09-09,0.4,2
analytics,get,31,51,60.78,2025-07-30,0.63,1
auth,list,48,74,64.86,2025-09-25,0.09,5
notifications,delete,2,140,1.43,2025-07-01,0.11,3
invoice,create,4,24,16.67,2025-09-05,0.3,1
auth,list,20,103,19.42,2025-08-08,0.85,2
reporting,update,61,188,32.45,2025-08-11,0.54,2
user,get,5,13,38.46,2025-09-24,0.51,0
invoice,validate,158,176,89.77,2025-09-03,0.01,2
analytics,get,3,21,14.29,2025-08-27,0.9,3
notifications,list,16,182,8.79,2025-09-16,0.52,5
auth,update,11,105,10.48,2025-08-04,0.45,3
user,delete,43,57,75.44,2025-07-21,0.52,2
reporting,validate,36,105,34.29,2025-08-23,0.96,2
user,validate,48,49,97.96,2025-09-23,0.68,0
invoice,delete,73,86,84.88,2025-09-26,0.27,4
invoice,create,87,193,45.08,2025-09-03,0.48,3
reporting,update,18,20,90.0,2025-09-27,0.71,0
invoice,create,29,56,51.79,2025-09-22,0.59,1
invoice,get,41,183,22.4,2025-09-11,0.61,1
notifications,create,76,91,83.52,2025-07-08,0.77,5
notifications,update,48,196,24.49,2025-08-17,0.49,4
reporting,validate,7,25,28.0,2025-07-05,0.88,3
reporting,get,1,34,2.94,2025-08-13,0.59,4
invoice,get,30,158,18.99,2025-09-01,0.41,0
reporting,list,75,177,42.37,2025-08-02,0.33,5
auth,update,27,126,21.43,2025-09-12,0.16,0
analytics,create,23,152,15.13,2025-07-06,1.0,3
notifications,list,143,174,82.18,2025-07-19,0.83,4
auth,update,1,68,1.47,2025-09-26,0.26,0
reporting,create,15,49,30.61,2025-09-26,1.0,0
auth,validate,55,174,31.61,2025-08-28,0.06,0
invoice,validate,35,85,41.18,2025-07-10,0.14,1
reporting,get,174,177,98.31,2025-08-26,0.76,3
user,list,83,103,80.58,2025-07-25,0.23,4
user,validate,163,178,91.57,2025-08-05,0.48,0
user,list,1,127,0.79,2025-07-04,0.34,3
auth,update,24,28,85.71,2025-09-06,0.85,2
reporting,list,42,106,39.62,2025-07-07,0.98,5
reporting,list,13,37,35.14,2025-07-18,0.83,1
user,delete,76,183,41.53,2025-09-06,0.35,0
reporting,get,9,12,75.0,2025-09-03,0.28,5
invoice,delete,2,87,2.3,2025-08-25,0.1,2
invoice,create,18,54,33.33,2025-07-23,0.04,4
user,get,8,18,44.44,2025-09-24,0.89,3
auth,get,13,59,22.03,2025-08-28,0.9,2
notifications,list,72,116,62.07,2025-08-08,0.75,2
invoice,delete,40,130,30.77,2025-09-07,0.39,5
notifications,create,47,137,34.31,2025-09-04,0.9,4
reporting,update,4,80,5.0,2025-08-10,0.39,3
invoice,delete,32,140,22.86,2025-08-20,0.52,2
analytics,update,173,195,88.72,2025-08-20,0.32,1
user,validate,11,48,22.92,2025-09-03,0.99,0
user,update,23,53,43.4,2025-08-31,0.5,4
user,update,48,63,76.19,2025-07-17,0.79,3
notifications,delete,76,188,40.43,2025-07-26,0.61,2
reporting,validate,43,97,44.33,2025-09-01,0.35,5
user,get,24,45,53.33,2025-08-01,0.1,1
notifications,get,39,78,50.0,2025-07-22,0.75,0
notifications,create,3,68,4.41,2025-07-06,0.68,3
notifications,delete,30,36,83.33,2025-09-14,0.87,1
notifications,get,13,30,43.33,2025-08-30,0.98,0
reporting,update,58,166,34.94,2025-07-11,0.78,5
invoice,validate,6,196,3.06,2025-08-28,0.33,3
reporting,update,65,84,77.38,2025-08-28,0.24,2
analytics,update,3,10,30.0,2025-07-03,0.95,2
analytics,delete,3,174,1.72,2025-09-10,0.95,3
user,validate,7,72,9.72,2025-08-12,0.64,2
auth,get,170,170,100.0,2025-07-28,0.6,5
auth,list,9,10,90.0,2025-08-14,0.41,1
analytics,validate,45,198,22.73,2025-08-23,0.52,2
notifications,update,23,140,16.43,2025-09-04,0.27,3
invoice,delete,14,28,50.0,2025-07-23,0.01,2
notifications,update,28,35,80.0,2025-09-27,0.6,0
user,create,3,27,11.11,2025-07-05,0.36,4
reporting,delete,29,83,34.94,2025-08-09,0.44,5
auth,list,6,36,16.67,2025-09-24,0.46,3
user,create,19,114,16.67,2025-09-18,0.51,1
notifications,validate,45,119,37.82,2025-08-03,0.58,2
invoice,create,146,192,76.04,2025-08-11,0.53,2
analytics,create,21,159,13.21,2025-07-25,0.14,1
reporting,update,60,82,73.17,2025-08-03,0.93,2
analytics,validate,100,126,79.37,2025-08-27,0.21,5
invoice,delete,100,144,69.44,2025-08-06,0.73,0
user,update,0,25,0.0,2025-07-09,0.12,2
user,delete,21,42,50.0,2025-07-11,0.2,0
invoice,get,11,45,24.44,2025-09-17,0.15,5
analytics,delete,111,143,77.62,2025-07-13,0.89,5
user,list,12,47,25.53,2025-07-17,0.39,5
user,create,61,150,40.67,2025-07-27,0.45,4
reporting,create,74,110,67.27,2025-07-06,0.01,2
reporting,update,35,171,20.47,2025-08-13,0.56,4
auth,delete,8,72,11.11,2025-09-05,0.49,4
reporting,create,45,143,31.47,2025-08-14,0.26,0
notifications,validate,3,24,12.5,2025-09-26,0.14,4
notifications,update,36,51,70.59,2025-07-10,0.79,3
user,update,124,139,89.21,2025-07-01,0.1,0
reporting,create,86,182,47.25,2025-09-24,0.83,0
notifications,get,4,77,5.19,2025-08-21,0.91,1
user,update,154,162,95.06,2025-08-08,0.78,1
invoice,validate,106,121,87.6,2025-07-27,0.85,0
user,create,48,170,28.24,2025-08-24,0.48,3
notifications,get,137,195,70.26,2025-08-03,0.16,5
invoice,get,63,194,32.47,2025-08-15,0.09,2
notifications,update,81,141,57.45,2025-09-09,0.45,2
invoice,validate,103,119,86.55,2025-07-19,0.56,5
invoice,list,7,11,63.64,2025-09-16,0.78,1
invoice,list,9,22,40.91,2025-09-15,0.22,5
reporting,list,32,63,50.79,2025-08-09,0.41,0
notifications,get,100,199,50.25,2025-08-06,0.39,0
invoice,get,24,163,14.72,2025-08-22,0.02,4
notifications,get,72,104,69.23,2025-07-28,0.85,1
user,delete,7,199,3.52,2025-07-21,0.08,4
reporting,create,0,156,0.0,2025-09-16,0.5,1
invoice,create,70,110,63.64,2025-07-21,0.86,3
analytics,get,191,200,95.5,2025-07-29,0.29,3
analytics,create,2,19,10.53,2025-08-15,0.04,5
auth,list,84,159,52.83,2025-08-24,0.61,2
notifications,list,0,26,0.0,2025-07-31,0.15,3
invoice,validate,132,173,76.3,2025-07-05,0.18,4
reporting,update,61,77,79.22,2025-07-01,0.03,0
reporting,list,7,32,21.88,2025-08-23,0.72,1
auth,get,33,100,33.0,2025-08-08,0.58,5
user,get,66,95,69.47,2025-09-02,0.97,1
reporting,update,53,82,64.63,2025-07-14,0.96,1
auth,validate,54,131,41.22,2025-07-11,0.4,2
invoice,validate,25,38,65.79,2025-07-13,0.92,2
invoice,update,171,176,97.16,2025-07-03,0.65,0
auth,update,33,191,17.28,2025-09-04,0.85,2
invoice,validate,75,82,91.46,2025-09-03,0.49,2
invoice,get,84,97,86.6,2025-09-19,0.74,5
auth,update,66,117,56.41,2025-09-06,0.55,5
analytics,update,0,93,0.0,2025-09-03,0.8,5
user,update,7,25,28.0,2025-07-02,0.5,3
invoice,get,48,65,73.85,2025-09-07,0.2,0
auth,create,35,56,62.5,2025-09-24,0.33,2
analytics,update,6,39,15.38,2025-06-30,0.17,0
analytics,get,14,65,21.54,2025-07-22,0.09,2
analytics,get,59,99,59.6,2025-08-27,0.36,0
invoice,list,77,88,87.5,2025-07-29,1.0,1
invoice,get,48,55,87.27,2025-07-22,0.67,4
reporting,delete,36,79,45.57,2025-07-09,0.32,0
notifications,validate,115,122,94.26,2025-09-25,0.22,3
notifications,list,149,174,85.63,2025-08-05,0.88,4
user,get,97,136,71.32,2025-07-30,0.49,3
user,list,15,16,93.75,2025-08-28,0.44,0
auth,list,123,161,76.4,2025-09-17,0.96,5
auth,create,10,26,38.46,2025-07-29,0.54,2
reporting,list,1,16,6.25,2025-08-17,0.13,5
notifications,get,8,62,12.9,2025-07-12,0.98,2
user,delete,10,11,90.91,2025-09-10,0.15,3
notifications,create,6,11,54.55,2025-08-03,0.37,3
auth,delete,42,106,39.62,2025-07-29,0.59,5
auth,create,0,55,0.0,2025-08-26,0.72,5
notifications,delete,41,44,93.18,2025-08-03,0.09,2
analytics,validate,32,89,35.96,2025-09-25,0.59,1
reporting,update,57,61,93.44,2025-09-16,0.4,0
invoice,list,7,177,3.95,2025-09-12,0.85,4
reporting,list,5,41,12.2,2025-09-02,0.5,5
analytics,validate,106,162,65.43,2025-07-18,0.56,0
reporting,delete,1,29,3.45,2025-07-06,0.65,2
invoice,list,70,136,51.47,2025-09-24,0.36,1
notifications,update,64,130,49.23,2025-07-13,0.56,1
user,get,39,66,59.09,2025-08-22,0.1,5
reporting,update,51,198,25.76,2025-07-04,0.13,1
reporting,get,26,78,33.33,2025-07-19,0.97,1
analytics,delete,11,15,73.33,2025-09-16,0.16,3
analytics,get,99,171,57.89,2025-09-22,0.62,2
user,delete,142,194,73.2,2025-08-07,0.62,4
analytics,delete,13,146,8.9,2025-07-24,0.75,3
notifications,create,49,75,65.33,2025-09-18,0.81,0
user,validate,0,63,0.0,2025-09-17,0.89,1
notifications,update,14,24,58.33,2025-07-09,0.3,5
invoice,create,84,103,81.55,2025-09-02,0.42,1
analytics,validate,12,136,8.82,2025-07-05,0.58,5
reporting,list,45,60,75.0,2025-08-25,0.47,0
auth,update,20,130,15.38,2025-08-10,0.72,1
auth,delete,27,27,100.0,2025-08-28,0.62,4
analytics,list,5,135,3.7,2025-07-23,0.55,0
analytics,create,6,177,3.39,2025-07-19,0.38,1
auth,delete,117,145,80.69,2025-07-02,0.94,4
auth,get,48,103,46.6,2025-09-03,0.64,1
invoice,delete,45,50,90.0,2025-08-26,0.06,3
auth,validate,20,70,28.57,2025-07-02,0.75,2
auth,update,18,80,22.5,2025-08-19,0.94,3
auth,get,2,11,18.18,2025-08-18,0.28,0
invoice,delete,19,116,16.38,2025-07-10,0.06,2
notifications,update,50,159,31.45,2025-07-15,0.67,3
analytics,list,114,123,92.68,2025-08-27,0.49,0
reporting,delete,47,118,39.83,2025-09-18,0.79,0
auth,update,4,142,2.82,2025-08-01,0.41,2
analytics,update,130,197,65.99,2025-08-24,0.97,2
analytics,list,4,10,40.0,2025-08-12,0.2,2
user,list,94,101,93.07,2025-09-16,0.83,2
auth,update,9,33,27.27,2025-07-03,0.17,5
reporting,get,7,191,3.66,2025-08-29,0.05,2
reporting,delete,39,63,61.9,2025-07-30,0.68,3
user,list,68,146,46.58,2025-07-14,0.22,3
invoice,update,43,71,60.56,2025-08-28,0.83,2
analytics,get,102,121,84.3,2025-07-26,0.87,3
reporting,delete,50,146,34.25,2025-08-02,0.54,0
invoice,list,7,16,43.75,2025-07-22,0.74,1
notifications,validate,83,194,42.78,2025-07-16,0.95,4
notifications,delete,12,43,27.91,2025-07-27,0.51,3
reporting,create,0,19,0.0,2025-07-19,0.75,4
user,list,2,106,1.89,2025-09-03,0.49,5
invoice,update,55,84,65.48,2025-07-21,0.68,3
invoice,validate,17,122,13.93,2025-07-24,0.61,1
user,validate,28,163,17.18,2025-07-01,0.7,4
analytics,create,16,25,64.0,2025-08-05,0.6,2
user,list,13,49,26.53,2025-09-12,0.3,4
analytics,create,118,179,65.92,2025-07-08,0.91,3
invoice,list,78,177,44.07,2025-09-04,0.56,3
user,update,17,156,10.9,2025-09-27,0.6,1
auth,validate,41,59,69.49,2025-08-14,0.94,4
notifications,list,126,184,68.48,2025-08-14,0.58,1
invoice,get,103,107,96.26,2025-06-29,0.59,4
user,validate,43,79,54.43,2025-07-24,0.22,4
invoice,create,71,132,53.79,2025-07-03,0.44,3
invoice,create,59,134,44.03,2025-08-31,0.64,2
invoice,get,14,144,9.72,2025-08-16,0.73,4
reporting,validate,117,119,98.32,2025-08-31,0.21,0
invoice,create,61,118,51.69,2025-08-15,0.22,0
notifications,delete,84,199,42.21,2025-08-16,0.62,3
reporting,get,134,151,88.74,2025-07-03,0.85,5
user,delete,28,135,20.74,2025-07-14,0.57,0
user,create,18,55,32.73,2025-09-10,0.61,3
auth,update,126,154,81.82,2025-07-24,0.93,5
analytics,list,9,92,9.78,2025-08-20,0.78,3
reporting,validate,184,188,97.87,2025-07-12,0.83,2
auth,list,79,94,84.04,2025-07-16,0.3,1
notifications,update,70,114,61.4,2025-07-11,0.02,3
auth,validate,26,88,29.55,2025-07-30,0.54,1
reporting,validate,88,110,80.0,2025-07-17,0.36,4
analytics,get,15,38,39.47,2025-08-31,0.7,1
user,validate,152,153,99.35,2025-09-24,0.29,2
analytics,update,11,11,100.0,2025-07-16,0.48,5
reporting,get,17,85,20.0,2025-09-14,0.08,3
user,update,24,65,36.92,2025-07-28,0.06,5
notifications,validate,125,129,96.9,2025-08-15,0.73,2
notifications,delete,39,182,21.43,2025-08-12,0.85,0
notifications,get,9,47,19.15,2025-09-02,0.75,2
user,update,2,42,4.76,2025-07-24,0.13,4
auth,validate,57,149,38.26,2025-09-27,0.01,2
notifications,list,53,101,52.48,2025-09-18,0.69,4
invoice,create,0,30,0.0,2025-09-10,0.1,5
auth,get,87,116,75.0,2025-07-05,0.53,5
analytics,update,24,82,29.27,2025-08-02,0.55,0
auth,list,79,188,42.02,2025-08-06,0.27,5
auth,delete,37,53,69.81,2025-08-23,0.44,4
reporting,update,11,184,5.98,2025-07-27,0.94,2
auth,get,21,49,42.86,2025-07-11,0.91,0
analytics,list,49,141,34.75,2025-07-19,0.81,4
invoice,get,107,165,64.85,2025-09-27,0.06,3
notifications,validate,10,115,8.7,2025-08-26,0.51,5
auth,update,14,94,14.89,2025-07-05,0.2,1
reporting,update,0,10,0.0,2025-07-03,0.62,5
notifications,delete,15,35,42.86,2025-06-30,0.52,5
invoice,validate,5,18,27.78,2025-08-02,0.35,0
analytics,get,21,148,14.19,2025-08-26,0.31,5
reporting,delete,43,81,53.09,2025-07-01,0.06,2
invoice,update,50,88,56.82,2025-07-26,0.04,3
analytics,get,37,75,49.33,2025-07-23,0.69,4
auth,create,102,175,58.29,2025-09-25,0.68,5
auth,list,18,118,15.25,2025-09-15,0.11,5
auth,delete,50,135,37.04,2025-09-02,0.2,4
notifications,update,9,15,60.0,2025-07-16,0.22,0
analytics,list,35,146,23.97,2025-07-20,0.01,3
notifications,create,3,70,4.29,2025-08-05,0.21,2
invoice,get,63,199,31.66,2025-08-14,0.99,4
analytics,delete,89,140,63.57,2025-08-25,0.05,2
user,create,71,134,52.99,2025-09-12,0.78,1
invoice,delete,20,35,57.14,2025-09-15,0.77,4
user,get,45,104,43.27,2025-09-12,0.77,4
auth,update,3,47,6.38,2025-07-11,0.55,5
user,create,50,67,74.63,2025-09-20,0.57,2
auth,validate,134,148,90.54,2025-07-15,0.52,1
invoice,get,39,90,43.33,2025-07-11,0.99,2
user,update,6,41,14.63,2025-09-01,0.71,0
analytics,validate,69,97,71.13,2025-07-30,0.35,2
analytics,list,3,60,5.0,2025-09-11,0.54,5
auth,get,47,91,51.65,2025-09-05,0.38,3
reporting,validate,41,41,100.0,2025-08-16,0.83,3
user,delete,2,28,7.14,2025-08-11,0.0,5
user,update,32,63,50.79,2025-07-09,0.4,4
auth,validate,25,74,33.78,2025-07-22,0.58,0
analytics,delete,123,136,90.44,2025-08-23,0.27,2
invoice,update,62,80,77.5,2025-09-09,0.46,3
reporting,delete,2,26,7.69,2025-07-12,0.67,3
auth,update,26,26,100.0,2025-07-19,0.15,2
user,delete,7,47,14.89,2025-09-27,0.59,4
user,delete,89,174,51.15,2025-09-24,0.56,2
notifications,update,117,122,95.9,2025-09-26,0.43,4
invoice,validate,113,175,64.57,2025-09-09,0.98,4
user,create,19,124,15.32,2025-08-17,0.23,0
auth,delete,91,135,67.41,2025-07-26,0.51,4
reporting,list,117,135,86.67,2025-08-28,0.53,2
invoice,update,157,181,86.74,2025-07-29,0.57,3
reporting,create,16,180,8.89,2025-08-26,0.25,3
notifications,create,74,84,88.1,2025-07-13,0.47,5
analytics,delete,29,96,30.21,2025-08-16,0.17,1
invoice,get,33,113,29.2,2025-09-09,0.89,1
reporting,list,94,120,78.33,2025-07-18,0.57,1
user,validate,0,13,0.0,2025-08-29,0.67,1
reporting,delete,94,100,94.0,2025-07-06,0.77,3
auth,validate,2,117,1.71,2025-07-27,0.02,1
user,update,59,97,60.82,2025-09-19,0.2,5
analytics,update,34,128,26.56,2025-08-02,0.82,2
invoice,validate,1,173,0.58,2025-09-23,0.95,3
reporting,get,50,182,27.47,2025-06-29,0.37,4
notifications,create,87,141,61.7,2025-09-03,0.25,0
invoice,list,81,87,93.1,2025-09-22,0.27,4
notifications,list,66,112,58.93,2025-08-11,0.39,1
invoice,delete,125,170,73.53,2025-08-12,0.57,5
reporting,delete,133,148,89.86,2025-09-22,0.33,2
invoice,validate,72,130,55.38,2025-07-23,0.64,1
reporting,update,2,42,4.76,2025-09-04,0.32,4
user,get,10,198,5.05,2025-08-05,0.31,4
reporting,update,11,42,26.19,2025-09-06,0.3,3
analytics,create,44,45,97.78,2025-09-01,0.32,3
reporting,get,142,158,89.87,2025-07-25,0.54,0
analytics,list,46,167,27.54,2025-08-22,0.05,3
user,update,17,79,21.52,2025-09-11,0.11,5
invoice,validate,158,200,79.0,2025-07-05,0.82,3
notifications,get,20,179,11.17,2025-08-15,0.63,2
auth,validate,66,168,39.29,2025-09-16,0.61,1
analytics,update,40,187,21.39,2025-07-15,0.84,0
notifications,delete,163,200,81.5,2025-07-03,0.6,4
invoice,create,16,18,88.89,2025-07-26,0.21,3
invoice,create,39,121,32.23,2025-07-16,0.16,0
notifications,get,62,175,35.43,2025-08-11,0.56,5
auth,get,22,99,22.22,2025-08-16,0.92,1
reporting,validate,56,135,41.48,2025-07-30,0.65,3
analytics,validate,15,57,26.32,2025-09-12,0.24,4
reporting,list,9,48,18.75,2025-08-02,0.86,3
auth,delete,73,117,62.39,2025-09-05,0.76,3
reporting,create,35,178,19.66,2025-09-04,0.22,1
notifications,validate,21,39,53.85,2025-08-01,0.29,1
invoice,list,12,70,17.14,2025-08-18,0.7,3
user,list,6,67,8.96,2025-09-20,0.3,0
invoice,update,82,163,50.31,2025-07-02,0.17,4
invoice,update,32,35,91.43,2025-07-28,0.71,0
analytics,list,36,134,26.87,2025-08-22,0.39,3
analytics,create,71,78,91.03,2025-08-06,0.45,4
invoice,update,20,49,40.82,2025-06-29,0.45,0
user,delete,1,29,3.45,2025-07-24,0.78,2
notifications,get,46,104,44.23,2025-08-01,0.26,5
notifications,validate,1,129,0.78,2025-07-09,0.02,3
invoice,delete,11,143,7.69,2025-08-26,0.34,5
auth,list,85,156,54.49,2025-09-01,0.36,3
auth,create,96,155,61.94,2025-08-31,0.09,1
reporting,list,56,86,65.12,2025-07-26,0.07,3
auth,list,27,88,30.68,2025-07-11,0.47,0
notifications,delete,5,40,12.5,2025-08-02,0.83,1
user,create,98,174,56.32,2025-08-21,0.16,1
user,validate,10,17,58.82,2025-08-26,0.89,4
user,delete,30,79,37.97,2025-09-18,0.62,3
invoice,list,58,72,80.56,2025-09-06,0.77,3
notifications,create,68,125,54.4,2025-07-28,0.57,1
notifications,list,67,112,59.82,2025-08-05,0.42,0
analytics,update,45,78,57.69,2025-08-13,0.51,4
invoice,get,61,98,62.24,2025-07-28,0.71,5
auth,create,140,170,82.35,2025-08-12,0.07,2
invoice,delete,53,61,86.89,2025-08-06,0.83,1
analytics,validate,59,183,32.24,2025-07-07,0.27,2
analytics,validate,31,159,19.5,2025-09-12,0.0,1
analytics,create,30,131,22.9,2025-09-20,0.35,4
analytics,update,88,151,58.28,2025-08-26,0.13,4
auth,create,30,108,27.78,2025-09-21,0.37,1
notifications,create,38,195,19.49,2025-08-20,0.31,1
analytics,get,8,137,5.84,2025-08-07,0.01,5
analytics,delete,30,30,100.0,2025-08-28,0.41,0
notifications,delete,65,97,67.01,2025-08-19,0.45,2
analytics,update,14,14,100.0,2025-08-23,0.57,1
analytics,delete,78,106,73.58,2025-08-18,0.91,2
auth,validate,29,56,51.79,2025-08-15,0.14,3
auth,delete,13,49,26.53,2025-08-11,0.37,3
auth,delete,55,161,34.16,2025-09-23,0.93,0
analytics,list,19,39,48.72,2025-07-26,0.34,3
analytics,create,22,130,16.92,2025-08-04,0.26,3
reporting,update,193,195,98.97,2025-09-21,0.37,5
analytics,list,9,111,8.11,2025-09-11,0.36,1
invoice,list,6,53,11.32,2025-08-09,0.38,4
reporting,list,137,146,93.84,2025-07-24,0.48,3
analytics,get,58,78,74.36,2025-08-17,1.0,5
analytics,create,29,161,18.01,2025-09-03,0.71,0
reporting,list,79,191,41.36,2025-08-29,0.35,4
reporting,create,59,114,51.75,2025-08-29,0.16,3
reporting,get,59,71,83.1,2025-08-23,0.8,1
reporting,update,152,152,100.0,2025-07-21,0.05,0
analytics,delete,150,187,80.21,2025-09-06,0.24,2
notifications,delete,10,67,14.93,2025-07-06,0.29,2
user,delete,21,141,14.89,2025-07-26,0.29,0
user,create,66,76,86.84,2025-09-08,0.52,2
invoice,delete,120,131,91.6,2025-08-13,0.25,5
reporting,delete,65,148,43.92,2025-08-14,0.24,0
analytics,list,152,156,97.44,2025-08-01,0.42,5
notifications,validate,44,50,88.0,2025-09-21,0.3,2
analytics,list,53,110,48.18,2025-07-11,0.89,0
user,list,1,70,1.43,2025-09-03,0.15,2
invoice,list,92,100,92.0,2025-09-26,0.21,2
analytics,get,8,34,23.53,2025-07-13,0.96,3
analytics,list,24,177,13.56,2025-08-28,0.68,0
user,validate,107,117,91.45,2025-08-13,0.43,3
user,validate,41,89,46.07,2025-08-19,0.71,1
user,validate,29,42,69.05,2025-08-25,0.48,0
notifications,get,25,34,73.53,2025-09-14,0.66,5
notifications,update,29,140,20.71,2025-07-06,0.68,5
reporting,get,31,114,27.19,2025-08-02,0.05,2
notifications,list,3,63,4.76,2025-07-26,0.98,5
analytics,delete,69,166,41.57,2025-09-03,0.54,2
auth,list,24,103,23.3,2025-08-20,0.21,0
analytics,create,52,85,61.18,2025-08-14,0.49,5
analytics,get,48,108,44.44,2025-08-25,0.55,5
invoice,list,85,196,43.37,2025-08-17,0.16,2
user,delete,5,19,26.32,2025-09-10,0.76,1
user,update,44,114,38.6,2025-08-29,0.57,4
user,update,39,72,54.17,2025-07-11,0.63,4
user,delete,37,88,42.05,2025-08-28,0.12,1
user,validate,14,46,30.43,2025-08-08,0.94,3
user,get,25,25,100.0,2025-07-20,0.3,4
notifications,delete,30,82,36.59,2025-07-12,0.24,0
invoice,validate,77,102,75.49,2025-09-20,0.03,4
invoice,create,8,49,16.33,2025-08-22,0.05,4
reporting,create,49,162,30.25,2025-07-05,0.99,1
auth,list,100,143,69.93,2025-07-12,0.9,5
notifications,get,29,34,85.29,2025-07-08,0.25,3
reporting,update,1,19,5.26,2025-08-17,0.05,4
invoice,update,145,149,97.32,2025-08-01,0.82,5
reporting,create,10,12,83.33,2025-07-18,0.16,0
reporting,delete,88,190,46.32,2025-07-24,0.41,4
analytics,list,60,79,75.95,2025-07-04,0.59,4
user,update,4,91,4.4,2025-08-12,0.77,1
notifications,create,115,177,64.97,2025-09-14,0.15,5
analytics,get,115,146,78.77,2025-09-25,0.16,4
auth,delete,61,62,98.39,2025-08-01,0.04,4
reporting,create,76,127,59.84,2025-08-16,0.82,0
notifications,create,98,143,68.53,2025-07-31,0.5,4
invoice,validate,9,26,34.62,2025-09-04,0.57,1
notifications,delete,75,126,59.52,2025-07-30,0.81,2
user,validate,9,113,7.96,2025-08-13,0.74,2
